Brand,Current_Price,Discount,Original_Price,Product_Name
Gucci,352.75,15%,415.0,GG1334O
Kate Spade,245.0,,,Cardea
Ray-Ban Junior,60.9,30%,87.0,RY1612
Dolce & Gabbana,163.0,50%,326.0,DG1333
Ray-Ban,222.0,,,RB5383
Gucci,365.5,15%,430.0,GG1258O
Versace,247.8,30%,354.0,VE3339U
Ray-Ban,178.0,,,RB5406F
Gucci,476.0,15%,560.0,GG0833O
Kate Spade,240.0,,,Arabel
Oakley,297.0,,,Slender
Ray-Ban,138.6,30%,198.0,RB6497 Optics
Ray-Ban,189.0,,,RB3734V
Gucci,365.5,15%,430.0,GG1003O
Gucci,314.5,15%,370.0,GG0121O
Kate Spade,225.0,,,MADRIGAL/G
Versace,376.0,,,VE3368U
Guess,104.0,50%,208.0,GU50063
Versace,300.0,,,VE3364U
Ray-Ban,89.5,50%,179.0,RB6343
Ray-Ban,89.0,50%,178.0,RB7244
Ray-Ban,222.0,,,RB5154 Clubmaster
Ray-Ban,261.0,,,RB5419
Kate Spade,205.0,,,ESTI
Ray-Ban Junior,46.5,50%,93.0,RY9707V
Ray-Ban,189.0,,,RB5435F
Ray-Ban,210.0,,,RB3447V Round Metal
Ray-Ban,325.0,,,RB7681V
Ray-Ban,99.0,50%,198.0,RB6498
Gucci,290.5,30%,415.0,GG1176O
Burberry,327.0,,,BE2387
Dolce & Gabbana,163.0,50%,326.0,DG3325
Dolce & Gabbana,240.1,30%,343.0,DG3381
Ray-Ban,162.0,,,RB7190
Dolce & Gabbana,171.5,50%,343.0,DG1341B
Guess,104.0,50%,208.0,GU2942
Dolce & Gabbana,306.0,,,DG5025
Versace,135.0,50%,270.0,VE3255
Versace,139.0,50%,278.0,VE3282
Ray-Ban,176.0,,,RB7238
Versace,177.0,50%,354.0,VE3337
Ray-Ban,138.6,30%,198.0,RB6465F Jack - Alternate Fit
Oakley,96.5,50%,193.0,Steel Line S
Oakley,208.0,,,Extender
Kate Spade,175.0,30%,250.0,Reilly/G
Persol,185.0,50%,370.0,PO3309V
Kate Spade,168.0,30%,240.0,Natalia
Kate Spade,240.0,,,ZELDA
Oakley,196.0,30%,280.0,Sunder
Ray-Ban,210.0,,,RB3746V
Guess,96.0,50%,192.0,GU50082
Ray-Ban Junior,87.0,,,RY9097V Elliot Optics Kids
Ray-Ban,222.0,,,RB3717V
Ray-Ban,127.4,30%,182.0,RB6348D
Ray-Ban,88.0,50%,176.0,RB7327
Ray-Ban,210.0,,,RB6489
Burberry,327.0,,,BE2415
Ray-Ban,155.5,50%,311.0,RB8772D
Ray-Ban,210.0,,,RB2241VF
Dolce & Gabbana,254.8,30%,364.0,DG3360
Gucci,425.0,15%,500.0,GG0013O
Ray-Ban,189.0,,,RB5406
Versace,135.0,50%,270.0,VE1281
Versace,316.0,,,VE3373U
Oakley,242.0,,,Coupler
Ray-Ban,210.0,,,RB6363
Burberry,146.5,50%,293.0,BE1360 - York
Ray-Ban,249.0,,,RB6518
Oakley,242.0,,,NXTLVL
Ray-Ban,222.0,,,RB5228
Gucci,425.0,15%,500.0,GG0737O
Gucci,327.25,15%,385.0,GG1138O
Ray-Ban,237.0,,,RB5362
Gucci,514.25,15%,605.0,GG1204O
Versace,406.0,,,VE3354
Kate Spade,171.5,30%,245.0,Conceta/FJ
Dolce & Gabbana,288.0,,,DG5101
Kate Spade,245.0,,,Paityn/G
Gucci,416.5,15%,490.0,GG1448O
Gucci,259.25,15%,305.0,GG1340O
Ray-Ban Junior,134.0,,,RY1053
Ray-Ban,176.0,,,RB5387
Kate Spade,225.0,,,Cinzia
Guess,117.5,50%,235.0,GU2658
Oakley,318.0,,,Limit Switch 0.5
Oakley,242.0,,,Dehaven (Low Bridge Fit)
Ray-Ban,138.6,30%,198.0,RB6497
Gucci,395.25,15%,465.0,GG0752O
Oakley,297.0,,,Pitchman R Carbon
Burberry,160.5,50%,321.0,BE1361 - Charley
Ray-Ban,189.0,,,RB5435
Gucci,352.75,15%,415.0,GG1589O
Ray-Ban Junior,98.0,,,RY1586
Persol,157.0,50%,314.0,PO1935V
Gucci,391.0,15%,460.0,GG0011O
Versace,406.0,,,VE1306
Ray-Ban,220.0,,,RB5296D
Burberry,160.0,50%,320.0,BE2232
Versace,155.0,50%,310.0,VE1284
Persol,333.0,,,PO3007V
Gucci,259.0,30%,370.0,GG1035O
Ray-Ban,189.0,,,RB6529
Dolce & Gabbana,335.0,,,DG3373
Ray-Ban,210.0,,,RB3735V
Burberry,137.5,50%,275.0,BE2316
Kate Spade,245.0,,,Muriel/G
Kate Spade,240.0,,,Marnie
Dolce & Gabbana,364.0,,,DG3377
Versace,316.0,,,VE3378D
Kate Spade,240.0,,,JERI/F
Guess,154.0,50%,308.0,GM0281
Ray-Ban,210.0,,,RB6441
Ray-Ban,276.0,,,RB8421
Dolce & Gabbana,130.5,50%,261.0,DG5084
Kate Spade,175.0,,,MACKINLEY
Ray-Ban,222.0,,,RB7017
Versace,155.0,50%,310.0,VE3331U
Ray-Ban,132.3,30%,189.0,RB7227
Kate Spade,168.0,30%,240.0,Jeri
Ray-Ban,176.0,,,RB6528
Versace,228.2,30%,326.0,VE3334F
Ray-Ban,222.0,,,RB5428
Versace,346.0,,,VE3341U
Ray-Ban,88.0,50%,176.0,RB7021
Oakley,255.0,,,Tumbleweed
Versace,346.0,,,VE1298
Burberry,390.0,,,BE2428U
Persol,171.0,50%,342.0,PO3284V
Kate Spade,245.0,,,Renne
Dolce & Gabbana,393.0,,,DG3380
Versace,376.0,,,VE3353
Oakley,187.0,,,Crosslink - Alternate Fit
Ray-Ban,237.0,,,RB6494 Optics
Ray-Ban,174.3,30%,249.0,RB6507M Optics Scuderia Ferrari Collection
Dolce & Gabbana,171.5,50%,343.0,DG3362
Burberry,327.0,,,BE2431
Gucci,365.5,15%,430.0,GG1424O
Versace,163.0,50%,326.0,VE3334
Ray-Ban,222.0,,,RB3717 Optics
Ray-Ban,222.0,,,RB5499 - Lady Burbank
Ray-Ban,198.0,,,RB5398F
Oakley,187.0,,,Crosslink Zero - Alternate Fit
Burberry,145.0,50%,290.0,BE2247
Burberry,133.0,50%,266.0,BE2358 - Isabella
Persol,196.5,50%,393.0,PO3352V
Ray-Ban,210.0,,,RB5449D
Ray-Ban,138.6,30%,198.0,RB5486
Ray-Ban,210.0,,,RB5395
Dolce & Gabbana,144.0,50%,288.0,DG3363F
Kate Spade,175.0,,,Aila
Gucci,259.25,15%,305.0,GG0634O
Burberry,154.5,50%,309.0,BE1367
Oakley,442.0,,,Cognitive R
Ray-Ban,176.0,,,RB7066
Burberry,145.0,50%,290.0,BE1308
Gucci,425.0,15%,500.0,GG1594O
Gucci,259.25,15%,305.0,GG1344O
Guess,143.5,30%,205.0,GU2908
Persol,171.0,50%,342.0,PO3283V
Oakley,172.0,,,Rafter
Burberry,250.6,30%,358.0,BE2388
Gucci,416.5,15%,490.0,GG0383O
Gucci,327.25,15%,385.0,GG0927O
Ray-Ban,189.0,,,RB7211
Kate Spade,225.0,,,Talulah
Kate Spade,245.0,,,PAYTON/F
Gucci,230.0,50%,460.0,GG0329O
Dolce & Gabbana,176.0,50%,352.0,DG1337
Oakley,318.0,,,Cartridge
Burberry,311.0,,,BE1282
Ray-Ban,226.0,50%,452.0,RB8258V
Burberry,146.5,50%,293.0,BE1350
Burberry,154.5,50%,309.0,BE1372
Burberry,327.0,,,BE2280
Oakley,106.5,50%,213.0,Gauge 7.2 Arch (TruBridge)
Versace,128.0,50%,256.0,VE3306F - Alternate Fit
Kate Spade,240.0,,,Samara/G
Dolce & Gabbana,287.7,30%,411.0,DG3305
Ray-Ban,100.1,30%,143.0,RB7085
Versace,526.0,,,VE1302
Gucci,391.0,15%,460.0,GG1465OA
Gucci,391.0,15%,460.0,GG1433O
Oakley,276.0,,,Crosslink Fit - Alternate Fit
Gucci,488.75,15%,575.0,GG0819OA - Alternate Fit
Ray-Ban,193.9,30%,277.0,RB5198
Burberry,146.5,50%,293.0,BE2332F - Alternate Fit
Kate Spade,230.0,,,Everleigh
Kate Spade,175.0,,,Tahlia
Burberry,146.5,50%,293.0,BE1347
